account_id,customer_id,primary_holder_customer_id,joint_holder_1_customer_id,joint_holder_2_customer_id,cif_number,account_number,iban,bban,sort_code,routing_number,swift_bic,ledger_account_number,product_code,product_name,product_family,account_type,account_subtype,account_currency,account_open_date,account_activation_date,account_close_date,account_status,status_reason,closure_reason,dormant_flag,freeze_flag,lien_flag,overdraft_allowed_flag,overdraft_limit,available_balance,current_balance,ledger_balance,cleared_balance,hold_balance,pending_debit_amount,pending_credit_amount,accrued_interest,interest_rate,interest_rate_type,interest_calculation_method,interest_payment_frequency,minimum_balance_requirement,average_monthly_balance,last_statement_date,next_statement_date,statement_cycle,branch_code,branch_name,home_country,tax_reporting_country,channel_opened,source_system,rm_id,rm_name,account_purpose,salary_account_flag,payroll_customer_flag,senior_citizen_flag,student_account_flag,business_account_flag,trust_account_flag,escrow_account_flag,collateral_account_flag,kyc_status,aml_risk_rating,sanctions_screening_status,fatca_flag,crs_flag,account_nickname,card_linked_flag,debit_card_count,credit_card_linked_flag,cheque_book_flag,cheque_book_issued_count,passbook_flag,e_statement_flag,sms_alert_flag,email_alert_flag,mobile_banking_flag,internet_banking_flag,sweep_in_flag,sweep_out_flag,sweep_target_account_id,linked_loan_account_id,linked_fd_account_id,lien_amount,lien_reason,nominee_name,nominee_relationship,nominee_date_of_birth,beneficiary_count,last_debit_txn_date,last_credit_txn_date,last_txn_date,month_to_date_debit_count,month_to_date_credit_count,month_to_date_debit_amount,month_to_date_credit_amount,year_to_date_fees,last_fee_applied_date,pricing_plan_code,pricing_plan_name,record_created_ts,record_updated_ts,batch_id,load_date,source_file_name,record_hash,row_quality_status,duplicate_suspect_flag,migrated_from_system,migration_date
ACC200001,CUST100001,CUST100001,CUST100002,,CIF500001,710394101616,IN91BANK710394101616,710394101616,89-38-76,508427798,EXBKINBB001,GL100000,SAV001,Savings Plus,Deposits,SAVINGS,RETAIL_SAVINGS,INR,2014-04-18,2014-04-19,,ACTIVE,,,N,N,N,N,0,18822.22,18822.22,18822.22,18822.22,0.0,0.0,0.0,47.06,2.75,FIXED,DAILY_PRODUCT,MONTHLY,1000,19422.56,2026-03-14,2026-04-13,MONTHLY,001,Mumbai Main,India,India,BRANCH,DEPOSIT_SYSTEM,RM1001,Anita Rao,Personal banking,N,N,Y,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,N,Savings Aarav,Y,2,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,,LN50000,FD70000,0,,Sneha Kapoor,FATHER,1975-06-09,1,2026-03-23,2026-03-23,2026-03-23,3,1,5209.69,7841.56,413.85,2026-03-22,PP100,Standard,2024-03-01 10:00:00,2026-03-10 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,4d1cc41d6f6e60b3250981189d237615af9b012e,VALID,N,FINACLE,2023-04-05
ACC200002,CUST100002,CUST100002,,,CIF500002,272121093022,IN92BANK272121093022,272121093022,86-70-47,135046782,EXBKINBB002,GL100001,CUR001,Current Classic,Deposits,CURRENT,RETAIL_CURRENT,INR,2015-05-19,2015-05-20,,ACTIVE,PERIODIC_REVIEW,,N,N,N,Y,50000,35142.23,35513.38,35473.23,35262.63,250.75,120.4,80.25,88.78,3.25,FLOATING,AVERAGE_BALANCE,QUARTERLY,5000,34986.05,2026-03-13,2026-04-12,QUARTERLY,002,Bengaluru Central,India,India,MOBILE_APP,DEPOSIT_SYSTEM,RM1002,Vivek Menon,Salary credits,N,N,N,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,Y,Current Diya,Y,1,N,Y,1,N,Y,Y,N,N,Y,N,N,,,,0,,Sanjay Kapoor,BROTHER,1976-07-10,2,2026-03-22,2026-03-22,2026-03-22,4,2,4938.0,25736.66,313.89,2026-03-21,PP200,Gold,2024-03-09 10:00:00,2026-03-09 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,aa6f963728edce481a079b7ef4065a90f873b2f1,VALID,N,FLEXCUBE,2023-05-06
ACC200003,CUST100003,CUST100003,,,CIF500003,258169176459,IN93BANK258169176459,258169176459,49-86-82,409893263,EXBKINBB003,GL100002,SAL001,Salary Advantage,Deposits,SAVINGS,SALARY,INR,2016-06-20,2016-06-21,,ACTIVE,,,N,N,N,N,0,55614.75,56357.05,56276.75,55855.55,501.5,240.8,160.5,140.89,3.75,FIXED,DAILY_PRODUCT,HALF_YEARLY,1000,50708.77,2026-03-12,2026-04-11,MONTHLY,003,Delhi Connaught,India,India,VIDEO_KYC,CORE_BANKING,RM1003,Ritika Shah,Daily expenses,Y,Y,N,N,N,N,N,N,REFRESH_DUE,MEDIUM,CLEAR,N,Y,Salary Rohan,Y,1,Y,Y,1,Y,Y,Y,Y,Y,Y,N,N,,,,0,,Dev Reddy,SISTER,1977-08-11,3,2026-03-21,2026-03-21,2026-03-21,5,3,4917.67,60363.01,504.55,2026-03-20,PP300,Platinum,2024-03-17 10:00:00,2026-03-08 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,87153858ad97a6cdc69272a3071b86d1a33d2233,VALID,N,FLEXCUBE,2023-06-07
ACC200004,CUST100004,CUST100004,,,CIF500004,198895336689,IN94BANK198895336689,198895336689,83-85-12,921155204,EXBKINBB004,GL100003,NRI001,NRI Flexi,Deposits,SAVINGS,NRE,INR,2017-07-21,2017-07-22,,DORMANT,SYSTEM_HOLD,,Y,N,N,N,0,40531.17,41644.62,41283.42,40892.37,752.25,361.2,0.0,104.11,4.25,FLOATING,AVERAGE_BALANCE,MONTHLY,1000,43822.2,2026-03-11,2026-04-10,QUARTERLY,004,Hyderabad Jubilee,India,India,RM_DESK,CORE_BANKING,RM1004,Sandeep Iyer,Emergency fund,N,N,N,N,N,N,N,N,PENDING_REVIEW,HIGH,REVIEW_REQUIRED,N,Y,NRI Sneha,Y,1,Y,Y,1,Y,Y,Y,Y,Y,Y,Y,Y,ACC200005,,,0,,Sanjay Khanna,BROTHER,1978-09-12,1,2026-03-20,2026-03-20,2026-03-20,6,4,24578.01,85801.46,599.18,2026-03-19,PP100,Standard,2024-03-25 10:00:00,2026-03-07 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,03243ca9db44618bad6c3f0ccfe778b34eaacbc6,VALID,N,FLEXCUBE,2023-07-08
ACC200005,CUST100005,CUST100005,,,CIF500005,214547351220,IN95BANK214547351220,214547351220,98-73-46,811443654,EXBKINBB005,GL100004,FDLNK,Linked Deposit,Deposits,TERM_DEPOSIT,FD_LINKED,INR,2018-08-22,2018-08-23,2021-03-19,CLOSED,,CUSTOMER_REQUEST,N,N,Y,N,0,64807.07,65288.67,64887.32,65288.67,0.0,481.6,80.25,163.22,4.75,FIXED,DAILY_PRODUCT,QUARTERLY,5000,61955.1,2026-03-10,2026-04-09,MONTHLY,005,Chennai T Nagar,India,India,BRANCH,CORE_BANKING,RM1005,Lakshmi Nair,Family savings,N,N,N,Y,N,N,N,N,COMPLETED,LOW,CLEAR,N,N,Linked Vikram,Y,1,Y,N,0,N,Y,N,Y,Y,Y,N,N,,,,2500,CARD_DISPUTE_HOLD,Nikhil Sharma,SISTER,1979-10-13,2,2026-03-19,2026-03-19,2026-03-19,7,1,16783.35,6897.14,720.28,2026-03-18,PP200,Gold,2024-04-02 10:00:00,2026-03-06 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,7e10c08c4661558cc0c6bf17fffbd0f1e85847c0,VALID,N,FINACLE,2023-08-09
ACC200006,CUST100006,CUST100006,,,CIF500006,648709745211,IN96BANK648709745211,648709745211,36-44-80,240674381,EXBKINBB001,GL100005,SAV001,Savings Plus,Deposits,SAVINGS,RETAIL_SAVINGS,INR,2019-09-23,2019-09-24,,FROZEN,SYSTEM_HOLD,,N,Y,N,N,0,84376.29,84627.04,84787.54,84376.29,250.75,0.0,160.5,211.57,2.75,FLOATING,AVERAGE_BALANCE,HALF_YEARLY,1000,91227.71,2026-03-09,2026-04-08,QUARTERLY,001,Mumbai Main,India,India,MOBILE_APP,DEPOSIT_SYSTEM,RM1001,Anita Rao,Personal banking,N,N,N,N,N,N,N,N,COMPLETED,LOW,CLEAR,N,Y,Savings Ananya,N,1,N,Y,1,Y,Y,Y,Y,N,Y,N,N,,,FD70005,0,,Ananya Nair,SISTER,1980-11-14,3,2026-03-18,2026-03-18,2026-03-18,8,2,7166.48,38559.35,397.17,2026-03-17,PP300,Platinum,2024-04-10 10:00:00,2026-03-05 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,b888799c6cebeb4b9fd77b7a3eafa0c8ee9210a6,VALID,N,LEGACY_CBS,2023-09-10
ACC200007,CUST100007,CUST100007,CUST100008,,CIF500007,809174117091,IN97BANK809174117091,809174117091,47-75-44,546129354,EXBKINBB002,GL100006,CUR001,Current Classic,Deposits,CURRENT,RETAIL_CURRENT,INR,2020-10-24,2020-10-25,,ACTIVE,,,N,N,N,Y,50000,69538.82,70160.72,70040.32,69659.22,501.5,120.4,0.0,175.4,3.25,FIXED,DAILY_PRODUCT,MONTHLY,5000,70126.53,2026-03-08,2026-04-07,MONTHLY,002,Bengaluru Central,India,India,VIDEO_KYC,DEPOSIT_SYSTEM,RM1002,Vivek Menon,Salary credits,N,N,N,N,N,N,N,N,REFRESH_DUE,MEDIUM,CLEAR,N,Y,Current Kabir,Y,1,N,Y,1,N,Y,Y,Y,Y,Y,N,N,,,,0,,Vikram Reddy,MOTHER,1981-12-15,1,2026-03-17,2026-03-17,2026-03-17,9,3,30946.16,104713.3,523.86,2026-03-16,PP100,Standard,2024-04-18 10:00:00,2026-03-04 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,14c76ba550ae418c1adeba10cc9ef929eb3718fe,VALID,N,FINACLE,2023-04-11
ACC200008,CUST100008,CUST100008,,,CIF500008,409248663017,IN98BANK409248663017,409248663017,84-94-72,259553112,EXBKINBB003,GL100007,SAL001,Salary Advantage,Deposits,SAVINGS,SALARY,INR,2021-11-25,2021-11-26,,ACTIVE,,,N,N,N,N,0,89137.2,90130.25,89969.7,89378.0,752.25,240.8,80.25,225.33,3.75,FLOATING,AVERAGE_BALANCE,QUARTERLY,1000,99255.29,2026-03-07,2026-04-06,QUARTERLY,003,Delhi Connaught,India,India,RM_DESK,DEPOSIT_SYSTEM,RM1003,Ritika Shah,Daily expenses,Y,Y,N,N,N,N,N,N,PENDING_REVIEW,HIGH,REVIEW_REQUIRED,N,N,Salary Meera,Y,2,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,,,,0,,Kabir Joshi,SISTER,1982-01-16,2,2026-03-16,2026-03-16,2026-03-16,3,4,6398.86,139841.82,601.85,2026-03-15,PP200,Gold,2024-04-26 10:00:00,2026-03-03 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,d56c5fb66992ee5bebbc0ff3cbb3ead9847a3004,VALID,N,FLEXCUBE,2023-05-12
ACC200009,CUST100009,CUST100009,,,CIF500009,622889527089,IN99BANK622889527089,622889527089,59-94-93,263321843,EXBKINBB004,GL100008,NRI001,NRI Flexi,Deposits,SAVINGS,NRE,INR,2022-12-26,2022-12-27,,ACTIVE,,,N,N,N,N,0,110164.94,110526.14,110325.44,110526.14,0.0,361.2,160.5,276.32,4.25,FIXED,DAILY_PRODUCT,HALF_YEARLY,1000,120851.79,2026-03-06,2026-04-05,MONTHLY,004,Hyderabad Jubilee,India,India,BRANCH,CORE_BANKING,RM1004,Sandeep Iyer,Emergency fund,N,N,N,N,N,N,N,Y,COMPLETED,LOW,CLEAR,N,Y,NRI Arjun,Y,1,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,,LN50008,,0,,Sneha Kulkarni,BROTHER,1983-02-17,3,2026-03-15,2026-03-15,2026-03-15,4,1,3605.66,10045.44,1108.03,2026-03-14,PP300,Platinum,2024-05-04 10:00:00,2026-03-02 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,628a0f1ecb8777198a43189ac17a1a3e78afe823,VALID,N,LEGACY_CBS,2023-06-13
ACC200010,CUST100010,CUST100010,,,CIF500010,615717460412,IN100BANK615717460412,615717460412,89-98-60,797756796,EXBKINBB005,GL100009,FDLNK,Linked Deposit,Deposits,TERM_DEPOSIT,FD_LINKED,INR,2023-01-27,2023-01-28,,DORMANT,CUSTOMER_REQUEST,,Y,N,N,N,0,94675.28,95407.63,94926.03,95156.88,250.75,481.6,0.0,238.52,4.75,FLOATING,AVERAGE_BALANCE,MONTHLY,5000,88682.04,2026-03-05,2026-04-04,QUARTERLY,005,Chennai T Nagar,India,India,MOBILE_APP,DEPOSIT_SYSTEM,RM1005,Lakshmi Nair,Family savings,N,N,N,Y,N,N,N,N,COMPLETED,LOW,CLEAR,N,Y,Linked Priya,N,1,N,N,0,N,Y,Y,Y,Y,N,Y,Y,ACC200011,,,0,,Pooja Menon,SPOUSE,1984-03-18,1,2026-03-14,2026-03-23,2026-03-23,5,2,14592.45,26433.92,902.84,2026-03-13,PP100,Standard,2024-05-12 10:00:00,2026-03-01 16:30:00,BATCH_20260324_001,2026-03-24,account_raw_20260324_part01.csv,79934a77341ad3b9b1842e801f2c18a4803c98d5,VALID,N,FLEXCUBE,2023-07-14
