transaction_id,account_id,customer_id,card_id,channel_transaction_reference,core_banking_reference,external_reference,merchant_reference,payment_network_reference,transaction_date,posting_date,value_date,transaction_timestamp,timezone,transaction_type,transaction_subtype,transaction_code,transaction_description,dr_cr_indicator,transaction_currency,account_currency,fx_rate,transaction_amount,local_amount,billed_amount,fee_amount,tax_amount,cashback_amount,principal_amount,interest_amount,charge_amount,running_balance_before,running_balance_after,available_balance_after,merchant_name,merchant_category_code,merchant_category_description,merchant_city,merchant_country,merchant_terminal_id,merchant_id,acquiring_bank,counterparty_name,counterparty_account_number,counterparty_bank_code,counterparty_bank_name,beneficiary_name,remitter_name,payment_purpose_code,payment_purpose_description,narration_line_1,narration_line_2,cheque_number,card_pan_masked,card_entry_mode,pos_condition_code,atm_id,atm_location,branch_code,branch_name,channel_code,channel_name,device_id,device_ip_address,geo_latitude,geo_longitude,online_flag,contactless_flag,recurring_flag,international_flag,cash_transaction_flag,reversal_flag,refund_flag,disputed_flag,dispute_case_id,fraud_alert_flag,fraud_score,aml_scenario_hit_flag,sanctions_screening_status,pep_match_flag,txn_status,txn_status_reason,authorization_code,settlement_batch_id,clearing_file_name,settlement_date,reconciliation_status,recon_break_code,limit_type,limit_consumed_amount,remaining_limit_amount,source_system,source_file_name,batch_id,load_date,record_created_ts,record_updated_ts,record_hash,row_quality_status,duplicate_suspect_flag,raw_ingestion_ts,raw_row_number,schema_version,event_type,original_transaction_id,related_account_id,related_customer_id,processor_response_code,processor_response_desc,api_request_id,api_response_time_ms
TXN800001,ACC200001,CUST100001,CARD600001,CHREF910000,CBR820000,EXT730000,MREF640000,NET550000,2026-03-23,2026-03-24,2026-03-24,2026-03-23 09:11:17,Asia/Kolkata,CARD_PURCHASE,POS,CP01,Debit card purchase,D,INR,INR,1.0,18705.22,18705.22,18518.170000000002,0.0,0.0,187.05,18705.22,0.0,0.0,1000.0,-17518.17,-17518.17,Amazon,5942,Book Stores,Mumbai,India,TID400001,MID500001,HDFC Bank,Internal Transfer,956623819286,SBIN0003456,HDFC Bank,Airtel Payments,Aarav Sharma,ATM,Utility payment,Debit card purchase - Amazon,Ref TXN800001 / 1616,,4111XXXXXXXX1000,CHIP,,,,001,Mumbai Main,MOB,Mobile Banking,DEV100001,10.10.0.10,12.9,77.5,Y,N,N,N,N,N,N,N,,N,5,N,CLEAR,N,POSTED,SUCCESS,862569,STL760000,txn_clearing_20260324_01.dat,2026-03-25,PENDING,AMOUNT_MISMATCH,ATM_WITHDRAWAL_LIMIT,52180.57,9516.84,UPI_GATEWAY,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-23 09:13:17,2026-03-23 12:11:17,9630b15438ebe207edc81764845ba26029253154,VALID,N,2026-03-24 01:10:00,2,v1.7,TXN_AUTHORIZED,,ACC200002,CUST100002,05,Approved,APIREQ990000,120
TXN800002,ACC200002,CUST100002,CARD600002,CHREF910001,CBR820001,EXT730001,MREF640001,NET550001,2026-03-22,2026-03-22,2026-03-22,2026-03-22 10:14:24,Asia/Kolkata,UPI_TRANSFER,P2P,UP01,UPI transfer,D,INR,INR,1.0,12384.15,12384.15,12384.15,0.0,0.0,0.0,12384.15,0.0,0.0,23129.23,10745.08,10494.33,Uber,4121,Taxicabs,Bengaluru,India,TID400002,MID500002,ICICI Bank,Internal Transfer,452534310748,ICIC0002345,HDFC Bank,Priya Nair,Diya K Patel,P2P,Cash withdrawal,UPI transfer - Uber,Ref TXN800002 / 3022,,4111XXXXXXXX1001,CONTACTLESS,,,,002,Bengaluru Central,UPI,UPI,DEV100002,10.10.1.11,13.01,77.57,Y,N,N,N,N,N,N,N,,N,6,N,CLEAR,N,POSTED,SUCCESS,499407,STL760001,txn_clearing_20260324_02.dat,2026-03-23,PENDING,,ATM_WITHDRAWAL_LIMIT,41432.98,67378.9,PAYMENTS_SWITCH,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-22 10:16:24,2026-03-22 13:14:24,d00d07e148faabee7f9337034ba43ad5bff80a50,VALID,N,2026-03-24 01:10:27,3,v1.7,TXN_SETTLED,,,,91,Approved,APIREQ990001,133
TXN800003,ACC200003,CUST100003,CARD600003,CHREF910002,CBR820002,EXT730002,,NET550002,2026-03-21,2026-03-21,2026-03-21,2026-03-21 11:17:31,Asia/Kolkata,SALARY_CREDIT,SALARY,SC01,Monthly salary credit,C,INR,INR,1.0,169332.74,169332.74,169332.74,0.0,0.0,0.0,169332.74,0.0,0.0,54357.05,223689.79,223188.29,,,,,,,,,Internal Transfer,540034427145,UTIB0004567,HDFC Bank,Electricity Board,Interest Processor,P2P,Interest,Monthly salary credit - Branch,Ref TXN800003 / 6459,CHQ300003,4111XXXXXXXX1002,CONTACTLESS,,,,003,Delhi Connaught,BRN,Branch,,,,,N,N,N,N,N,N,N,N,,N,7,Y,CLEAR,N,POSTED,SUCCESS,492483,STL760002,txn_clearing_20260324_03.dat,2026-03-22,MATCHED,,UPI_LIMIT,73992.83,14734.33,PAYMENTS_SWITCH,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-21 11:19:31,2026-03-21 14:17:31,b9eef64f189a5e3f90f0f0972b8b59d26c535c2b,VALID,N,2026-03-24 01:10:54,4,v1.7,TXN_POSTED,,,,05,Approved,APIREQ990002,146
TXN800004,ACC200004,CUST100004,CARD600004,CHREF910003,CBR820003,EXT730003,,NET550003,2026-03-20,2026-03-20,2026-03-20,2026-03-20 12:20:38,Asia/Kolkata,ATM_WITHDRAWAL,ATM,AW01,ATM cash withdrawal,D,INR,INR,1.0,18678.58,18678.58,18601.99,93.39,16.81,186.79,18678.58,0.0,110.2,22966.04,4364.05,3611.8,,,,,,,,,Electricity Board,245220443325,HDFC0001234,State Bank of India,Rajesh Kumar,Sneha S Gupta,POS,Peer transfer,ATM cash withdrawal - ATM,Ref TXN800004 / 6689,,4111XXXXXXXX1003,ECOM,,ATM200004,Hyderabad,004,Hyderabad Jubilee,ATM,ATM,,,13.23,77.71,N,N,N,N,Y,N,N,N,,N,8,N,CLEAR,N,PENDING,AWAITING_CLEARING,856086,STL760003,txn_clearing_20260324_01.dat,2026-03-20,MATCHED,,ATM_WITHDRAWAL_LIMIT,48831.99,55988.7,CARD_HOST,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-20 12:22:38,2026-03-20 15:20:38,de237f95b185158c82fbdfafb41172b44f8f9a30,VALID,N,2026-03-24 01:11:21,5,v1.7,TXN_POSTED,,,,05,Approved,APIREQ990003,159
TXN800005,ACC200005,CUST100005,CARD600005,CHREF910004,CBR820004,EXT730004,MREF640004,NET550004,2026-03-19,2026-03-20,2026-03-20,2026-03-19 13:23:45,Asia/Kolkata,NEFT_CREDIT,BANK_TRANSFER,NC01,Inbound NEFT transfer,C,INR,INR,1.0,21220.05,21220.05,21220.05,0.0,0.0,0.0,21220.05,0.0,0.0,63288.67,84508.72,84508.72,IRCTC,4789,Transportation,Chennai,India,TID400005,MID500005,State Bank of India,Electricity Board,713516207200,SBIN0003456,HDFC Bank,Electricity Board,Rohit Sharma,FEE,Merchant payment,Inbound NEFT transfer - IRCTC,Ref TXN800005 / 1220,,4111XXXXXXXX1004,CHIP,59,,,005,Chennai T Nagar,POS,POS,,,13.34,77.78,Y,N,N,N,N,N,N,N,,N,9,N,CLEAR,N,REVERSED,REVERSAL_PROCESSED,130359,STL760004,txn_clearing_20260324_02.dat,2026-03-20,MATCHED,,ATM_WITHDRAWAL_LIMIT,56810.5,49802.78,CORE_BANKING,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-19 13:25:45,2026-03-19 16:23:45,b4d60c5b6cd08744ea9af484fd6015848c497321,VALID,N,2026-03-24 01:11:48,6,v1.7,TXN_AUTHORIZED,,ACC200006,CUST100006,00,Approved,APIREQ990004,172
TXN800006,ACC200006,CUST100006,,CHREF910005,CBR820005,EXT730005,MREF640005,NET550005,2026-03-18,2026-03-18,2026-03-18,2026-03-18 14:26:52,Asia/Kolkata,IMPS_TRANSFER,BANK_TRANSFER,IM01,IMPS transfer,D,INR,INR,1.0,21779.1,21779.1,21907.6,108.9,19.6,0.0,21779.1,0.0,128.5,62847.94,40940.34,40689.59,Shell,5541,Fuel,Pune,India,TID400006,MID500006,HDFC Bank,Anita Stores,540909937895,HDFC0001234,ICICI Bank,Rajesh Kumar,Ananya R Iyer,SAL,Interest,IMPS transfer - Shell,Ref TXN800006 / 5211,,,,,,,001,Mumbai Main,NET,Internet Banking,DEV100006,10.10.5.15,13.45,77.85,Y,N,N,N,N,N,N,N,,N,10,N,CLEAR,N,DECLINED,LIMIT_EXCEEDED,656251,STL760005,txn_clearing_20260324_03.dat,2026-03-18,MATCHED,,ATM_WITHDRAWAL_LIMIT,34746.93,54429.92,CORE_BANKING,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-18 14:28:52,2026-03-18 17:26:52,dbb0380c90718c6b83ff0c010a65e80c74c5ee6c,VALID,N,2026-03-24 01:12:15,7,v1.7,TXN_AUTHORIZED,,,,00,Issuer unavailable,APIREQ990005,185
TXN800007,ACC200007,CUST100007,CARD600007,CHREF910006,CBR820006,EXT730006,MREF640006,NET550006,2026-03-17,2026-03-17,2026-03-17,2026-03-17 15:29:19,Asia/Kolkata,CASH_DEPOSIT,CASH,CD01,Cash deposit at branch,C,INR,INR,1.0,15006.54,15006.54,15006.54,0.0,0.0,0.0,15006.54,0.0,0.0,68160.72,83167.26,82665.76,Apollo Pharmacy,5912,Drug Stores,Kolkata,India,TID400007,MID500007,Yes Bank,Rajesh Kumar,272466902454,HDFC0001234,HDFC Bank,Electricity Board,Interest Processor,INT,Merchant payment,Cash deposit at branch - Apollo Pharmacy,Ref TXN800007 / 7091,,4111XXXXXXXX1006,ECOM,,,,002,Bengaluru Central,MOB,Mobile Banking,DEV100007,10.10.6.16,13.56,77.92,Y,N,N,N,Y,N,N,N,,N,11,N,CLEAR,N,POSTED,SUCCESS,736565,STL760006,txn_clearing_20260324_01.dat,2026-03-18,BREAK,,ATM_WITHDRAWAL_LIMIT,23307.01,114466.76,PAYMENTS_SWITCH,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-17 15:31:19,2026-03-17 18:29:19,eac835937f50f7cf23d929a031ebeec0dd98b39f,VALID,N,2026-03-24 01:12:42,8,v1.7,TXN_AUTHORIZED,,,,05,Approved,APIREQ990006,198
TXN800008,ACC200008,CUST100008,CARD600008,CHREF910007,CBR820007,EXT730007,MREF640007,NET550007,2026-03-16,2026-03-16,2026-03-16,2026-03-16 16:32:26,Asia/Kolkata,SERVICE_FEE,FEE,SF01,Service fee charge,D,INR,INR,1.0,7260.35,7260.35,7303.18,36.3,6.53,0.0,0.0,0.0,42.83,82869.9,75566.72,74814.47,Netflix,4899,Cable Services,Mumbai,India,TID400008,MID500008,Citi India,Ravi Patel,635123436896,SBIN0003456,HDFC Bank,Priya Nair,Meera M Joshi,POS,Cash withdrawal,Service fee charge - Netflix,Ref TXN800008 / 3017,,4111XXXXXXXX1007,CHIP,,,,003,Delhi Connaught,UPI,UPI,DEV100008,10.10.7.17,13.67,77.99,Y,N,Y,N,N,N,N,N,,N,12,N,CLEAR,N,POSTED,SUCCESS,108060,STL760007,txn_clearing_20260324_02.dat,2026-03-17,MATCHED,,ATM_WITHDRAWAL_LIMIT,75735.28,116265.68,CORE_BANKING,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-16 16:34:26,2026-03-16 19:32:26,0b28cd895a4ca7ef3545f0038cdedeca85ca73aa,VALID,N,2026-03-24 01:13:09,9,v1.7,TXN_AUTHORIZED,,,,00,Approved,APIREQ990007,211
TXN800009,ACC200009,CUST100009,CARD600009,CHREF910008,CBR820008,EXT730008,,NET550008,2026-03-15,2026-03-16,2026-03-16,2026-03-15 17:35:33,Asia/Kolkata,INTEREST_CREDIT,INTEREST,IC01,Savings interest credit,C,INR,INR,1.0,952.74,952.74,952.74,0.0,0.0,0.0,0.0,952.74,0.0,108526.14,109478.88,109478.88,,,,,,,,,Salary Processing Desk,517166676092,ICIC0002345,State Bank of India,Rajesh Kumar,Interest Processor,FEE,Interest,Savings interest credit - Branch,Ref TXN800009 / 7089,CHQ300009,4111XXXXXXXX1008,CHIP,,,,004,Hyderabad Jubilee,BRN,Branch,,,,,N,N,Y,N,N,N,N,N,,N,13,N,CLEAR,N,POSTED,SUCCESS,557409,STL760008,txn_clearing_20260324_03.dat,2026-03-17,MATCHED,,ATM_WITHDRAWAL_LIMIT,73850.67,130005.95,UPI_GATEWAY,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-15 17:37:33,2026-03-15 20:35:33,28d00b30fe147ccc3100ca53bef610ad5b02b2fa,VALID,N,2026-03-24 01:13:36,10,v1.7,TXN_SETTLED,,ACC200010,CUST100010,05,Do not honor,APIREQ990008,224
TXN800010,ACC200010,CUST100010,,CHREF910009,CBR820009,EXT730009,,NET550009,2026-03-14,2026-03-14,2026-03-14,2026-03-14 18:38:40,Asia/Kolkata,BILL_PAYMENT,UTILITY,BP01,Utility bill payment,D,INR,INR,1.0,7415.5,7415.5,7385.09,37.08,6.67,74.16,7415.5,0.0,43.75,87992.13,80607.04,80356.29,,,,,,,,,Internal Transfer,286078462460,UTIB0004567,State Bank of India,Rajesh Kumar,Priya T Nair,POS,Service fee,Utility bill payment - ATM,Ref TXN800010 / 0412,,,,,ATM200010,Jaipur,005,Chennai T Nagar,ATM,ATM,,,13.89,78.13,N,N,N,N,N,N,N,N,,N,14,N,CLEAR,N,PENDING,AWAITING_CLEARING,211005,STL760009,txn_clearing_20260324_01.dat,2026-03-14,MATCHED,AMOUNT_MISMATCH,ATM_WITHDRAWAL_LIMIT,47931.96,80974.57,UPI_GATEWAY,transaction_raw_20260324_part01.csv,BATCH_20260324_001,2026-03-24,2026-03-14 18:40:40,2026-03-14 21:38:40,cf173ddac23f094519527f343c96a66befb31846,VALID,N,2026-03-24 01:14:03,11,v1.7,TXN_AUTHORIZED,,,,00,Approved,APIREQ990009,237
